Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)
Q92945	FUBP2_HUMAN	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)	Homo sapiens (Human)	711	KHSRP	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
O15523	DDX3Y_HUMAN	ATP-dependent RNA helicase DDX3Y (EC 3.6.4.13) (DEAD box protein 3, Y-chromosomal)	Homo sapiens (Human)	660	DDX3Y	cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]
P35637	FUS_HUMAN	RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)	Homo sapiens (Human)	526	FUS	dendritic spine head [GO:0044327]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]
Q01844	EWS_HUMAN	RNA-binding protein EWS (EWS oncogene) (Ewing sarcoma breakpoint region 1 protein)	Homo sapiens (Human)	656	EWSR1	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q9UN86	G3BP2_HUMAN	Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2)	Homo sapiens (Human)	482	G3BP2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]
Q5JVS0	HABP4_HUMAN	Intracellular hyaluronan-binding protein 4 (IHABP-4) (IHABP4) (Hyaluronan-binding protein 4) (Ki-1/57 intracellular antigen)	Homo sapiens (Human)	413	HABP4	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular region [GO:0005576]; Gemini of coiled bodies [GO:0097504]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]; sarcomere [GO:0030017]; sarcoplasm [GO:0016528]
P14866	HNRPL_HUMAN	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	Homo sapiens (Human)	589	HNRNPL	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; ribonucleoprotein complex [GO:1990904]; ribonucleoprotein granule [GO:0035770]
Q9H9Z2	LN28A_HUMAN	Protein lin-28 homolog A (Lin-28A) (Zinc finger CCHC domain-containing protein 1)	Homo sapiens (Human)	209	LIN28A	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; P-body [GO:0000932]; polysome [GO:0005844]; ribonucleoprotein complex [GO:1990904]; rough endoplasmic reticulum [GO:0005791]
Q8ND56	LS14A_HUMAN	Protein LSM14 homolog A (Protein FAM61A) (Protein SCD6 homolog) (Putative alpha-synuclein-binding protein) (AlphaSNBP) (RNA-associated protein 55A) (hRAP55) (hRAP55A)	Homo sapiens (Human)	463	LSM14A	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; P-body [GO:0000932]
O00571	DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)	Homo sapiens (Human)	662	DDX3X	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; mitochondrial outer membrane [GO:0005741]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]
Q9NUL3	STAU2_HUMAN	Double-stranded RNA-binding protein Staufen homolog 2	Homo sapiens (Human)	570	STAU2	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; microtubule [GO:0005874]; nucleolus [GO:0005730]
Q6PKG0	LARP1_HUMAN	La-related protein 1 (La ribonucleoprotein domain family member 1)	Homo sapiens (Human)	1096	LARP1	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; membrane [GO:0016020]
P60323	NANO3_HUMAN	Nanos homolog 3 (NOS-3)	Homo sapiens (Human)	173	NANOS3	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]
Q71RC2	LARP4_HUMAN	La-related protein 4 (La ribonucleoprotein domain family member 4)	Homo sapiens (Human)	724	LARP4	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]
Q9NUQ6	SPS2L_HUMAN	SPATS2-like protein (DNA polymerase-transactivated protein 6) (Stress granule and nucleolar protein) (SGNP)	Homo sapiens (Human)	558	SPATS2L	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q9BTD8	RBM42_HUMAN	RNA-binding protein 42 (RNA-binding motif protein 42)	Homo sapiens (Human)	480	RBM42	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]
Q5PRF9	SMAG2_HUMAN	Protein Smaug homolog 2 (Smaug 2) (hSmaug2) (Sterile alpha motif domain-containing protein 4B) (SAM domain-containing protein 4B)	Homo sapiens (Human)	694	SAMD4B	cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]
