protein	count_glycosylation	N-linked (GlcNAc...) asparagine	O-linked (GalNAc...) threonine	N-linked (GlcNAc...) (complex) asparagine	O-linked (GalNAc...) serine	O-linked (GlcNAc) serine	C-linked (Man) tryptophan	N-linked (Glc) (glycation) lysine	O-linked (Gal...) hydroxylysine	O-linked (GlcNAc) threonine	O-linked (Xyl...) (glycosaminoglycan) serine	O-linked (Fuc...) threonine	O-linked (Xyl...) (chondroitin sulfate) serine	O-linked (Glc...) serine	O-linked (Xyl...) (heparan sulfate) serine	N-linked (GlcNAc...)	N-linked (GlcNAc...) (high mannose) asparagine	O-linked (Fuc...) serine	O-linked (HexNAc...) threonine	N-linked (GlcNAc...) (keratan sulfate) asparagine	N-linked (GlcNAc...) (polylactosaminoglycan) asparagine
P06028	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P47871	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P35575	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16445	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P48169	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P31644	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q02742	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95395	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P55107	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P43026	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6P531	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95838	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02724	17	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96RP7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NPG1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04066	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P22083	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60478	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P57057	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H3Q3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96A11	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P78334	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99928	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00591	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18507	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NZC3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P10912	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P13284	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95866	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75084	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9ULV1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UBS5	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q10472	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P34059	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P14867	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P47869	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P36268	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P36269	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P43220	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BTY2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q495W5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6W3E5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8WTR4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NGU5	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04062	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14435	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P09958	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14332	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8N5D6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8N2G8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07093	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NU53	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6IS24	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18462	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30512	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30457	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30459	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30462	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18463	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30461	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30460	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30483	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q95365	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30480	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30685	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30484	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30485	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30495	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q29940	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30492	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30498	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18464	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q31610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q29836	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30491	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q29718	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30475	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30499	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30510	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q29960	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30501	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30505	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30504	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P13760	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q95IE3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02750	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8K2U0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P21589	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08195	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q09160	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P05534	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P16190	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P01891	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P01889	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30487	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30481	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q31612	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18465	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q07000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P03989	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q30167	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P28221	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30464	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P01009	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08697	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P13761	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9TNN7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P28566	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P34969	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P41595	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q70Z44	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P46098	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P01008	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08519	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P55056	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NR71	19	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P42127	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6UWY0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BXN1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86TH1	10	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6UY14	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q04656	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75106	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NBQ7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04114	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14791	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P20933	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P78348	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q7Z3C6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P19801	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5FYB0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75129	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q12797	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P25705	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02656	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P05090	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P15289	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18850	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P05026	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P26436	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P14415	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P54709	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95445	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P54793	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6ICH7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q92485	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07307	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P28039	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q53RT3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P51690	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q4VNC0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14525	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6UW56	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5FYB1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96EG1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16515	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P82987	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13510	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHC3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P17405	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NY37	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96FT7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07306	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9HD20	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P51164	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02647	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13790	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P15514	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P15848	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99941	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P51689	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q92484	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5T4W7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6ZMM2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8N6G6	7	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Q9UBJ2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P28288	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NUN7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P36544	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BUJ0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08172	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43306	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60503	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07550	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96PE1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IZF5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86Y34	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IZF6	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86SQ4	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30556	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02768	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86WK6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5QJU3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BZC7	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q07001	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UNQ0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P78363	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14672	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UKF5	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UKF2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13443	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P13945	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P43652	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BY15	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IZF4	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IZP9	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y243	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Q9Y673	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NP70	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86SJ2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86WK7	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UNA3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NPC4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9GZZ6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P33897	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P33121	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P35348	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01718	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99965	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NZK5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6UXC1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P19021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UM73	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95342	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00590	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43184	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H013	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UKQ2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P0K1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5T7M4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08588	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q08828	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60266	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q7Z7M1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9HBW9	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86SQ6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00468	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
P06280	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16671	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30533	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P29274	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P01023	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02708	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UGM1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P17787	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P11230	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07510	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08912	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08173	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5VUY2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75077	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BZ11	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NFM4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IZF7	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q15758	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60706	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95477	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2M3G0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86UK0	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8N139	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O94911	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8WWZ7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IUA7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IZY2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H172	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75078	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6ZNF0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P25100	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UKJ8	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13444	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43506	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q04771	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14514	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IUX7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P52594	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P50052	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9HAR2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P31749	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P19652	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30926	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q09428	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P20309	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18825	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TC27	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P51828	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95622	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95490	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
