Entry	Entry name	Status	Protein names	Organism	Length	Gene names  (primary )	Glycosylation
P00750	TPA_HUMAN	reviewed	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	Homo sapiens (Human)	562	PLAT	CARBOHYD 96 96 O-linked (Fuc) threonine. {ECO:0000269|PubMed:1900431}. /FTId=CAR_000029.; CARBOHYD 152 152 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:2513186}.; CARBOHYD 219 219 N-linked (GlcNAc...) asparagine; partial. {ECO:0000269|PubMed:2513186}. /FTId=CAR_000030.; CARBOHYD 483 483 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:2513186}. /FTId=CAR_000031.
P01033	TIMP1_HUMAN	reviewed	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)	Homo sapiens (Human)	207	TIMP1	CARBOHYD 53 53 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:16263699, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:16740002, ECO:0000269|PubMed:19139490}. /FTId=CAR_000002.; CARBOHYD 101 101 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16740002}. /FTId=CAR_000003.
P01130	LDLR_HUMAN	reviewed	Low-density lipoprotein receptor (LDL receptor)	Homo sapiens (Human)	860	LDLR	CARBOHYD 97 97 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 156 156 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19520913}.; CARBOHYD 272 272 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19520913}.; CARBOHYD 515 515 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 657 657 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218}.
P02452	CO1A1_HUMAN	reviewed	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	Homo sapiens (Human)	1464	COL1A1	CARBOHYD 265 265 O-linked (Gal...) hydroxylysine; alternate. {ECO:0000269|PubMed:4319110}.; CARBOHYD 1108 1108 O-linked (Gal...) hydroxylysine; alternate. {ECO:0000250|UniProtKB:P02457}.; CARBOHYD 1365 1365 N-linked (GlcNAc...) asparagine.
P02453	CO1A1_BOVIN	reviewed	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	Bos taurus (Bovine)	1463	COL1A1	CARBOHYD 264 264 O-linked (Gal...) hydroxylysine; alternate. {ECO:0000250|UniProtKB:P02457}.; CARBOHYD 1107 1107 O-linked (Gal...) hydroxylysine; alternate. {ECO:0000250|UniProtKB:P02457}.
P02462	CO4A1_HUMAN	reviewed	Collagen alpha-1(IV) chain [Cleaved into: Arresten]	Homo sapiens (Human)	1669	COL4A1	CARBOHYD 126 126 N-linked (GlcNAc...) asparagine.
P02511	CRYAB_HUMAN	reviewed	Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)	Homo sapiens (Human)	175	CRYAB	CARBOHYD 170 170 O-linked (GlcNAc) threonine. {ECO:0000250}.
P02533	K1C14_HUMAN	reviewed	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	Homo sapiens (Human)	472	KRT14	
P02538	K2C6A_HUMAN	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	Homo sapiens (Human)	564	KRT6A	
P02545	LMNA_HUMAN	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	Homo sapiens (Human)	664	LMNA	
P02751	FINC_HUMAN	reviewed	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	Homo sapiens (Human)	2386	FN1	CARBOHYD 279 279 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:16037490}.; CARBOHYD 430 430 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:11285216, ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:16335952}.; CARBOHYD 528 528 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:14760718, ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19139490, ECO:0000269|PubMed:19159218}.; CARBOHYD 542 542 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19139490}.; CARBOHYD 877 877 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:17614963}.; CARBOHYD 1007 1007 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19139490, ECO:0000269|PubMed:19159218}.; CARBOHYD 1244 1244 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:16335952}.; CARBOHYD 2064 2064 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:2012601}.; CARBOHYD 2065 2065 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:2012601}.; CARBOHYD 2108 2108 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16037490}.
P02769	ALBU_BOVIN	reviewed	Serum albumin (BSA) (allergen Bos d 6)	Bos taurus (Bovine)	607	ALB	
P02786	TFR1_HUMAN	reviewed	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]	Homo sapiens (Human)	760	TFRC	CARBOHYD 104 104 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:1421756, ECO:0000269|PubMed:1421757}. /FTId=CAR_000072.; CARBOHYD 251 251 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1CX8, ECO:0000269|PubMed:10531064, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 317 317 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1CX8, ECO:0000269|PubMed:10531064}.; CARBOHYD 727 727 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1CX8, ECO:0000269|PubMed:10531064, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:7780197}. /FTId=CAR_000173.
P02794	FRIH_HUMAN	reviewed	Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) (Cell proliferation-inducing gene 15 protein) [Cleaved into: Ferritin heavy chain, N-terminally processed]	Homo sapiens (Human)	183	FTH1	
P04181	OAT_HUMAN	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]	Homo sapiens (Human)	439	OAT	
P04183	KITH_HUMAN	reviewed	Thymidine kinase, cytosolic (EC 2.7.1.21)	Homo sapiens (Human)	234	TK1	
P04216	THY1_HUMAN	reviewed	Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90)	Homo sapiens (Human)	161	THY1	CARBOHYD 42 42 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 79 79 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 119 119 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 139 139 N-linked (GlcNAc...) asparagine.
P04259	K2C6B_HUMAN	reviewed	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)	Homo sapiens (Human)	564	KRT6B	
P04350	TBB4A_HUMAN	reviewed	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	Homo sapiens (Human)	444	TUBB4A	
P04406	G3P_HUMAN	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	Homo sapiens (Human)	335	GAPDH	
P04626	ERBB2_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	Homo sapiens (Human)	1255	ERBB2	CARBOHYD 68 68 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:2A91, ECO:0000244|PDB:3MZW, ECO:0000269|PubMed:20696930}.; CARBOHYD 124 124 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 187 187 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1N8Z, ECO:0000244|PDB:1S78, ECO:0000244|PDB:2A91, ECO:0000244|PDB:3N85, ECO:0000255}.; CARBOHYD 259 259 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1N8Z, ECO:0000244|PDB:1S78, ECO:0000244|PDB:2A91, ECO:0000244|PDB:3MZW, ECO:0000244|PDB:3N85, ECO:0000269|PubMed:15093539, ECO:0000269|PubMed:19299620, ECO:0000269|PubMed:20696930}.; CARBOHYD 530 530 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1S78, ECO:0000269|PubMed:15093539, ECO:0000269|PubMed:19299620}.; CARBOHYD 571 571 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3MZW, ECO:0000269|PubMed:20696930}.; CARBOHYD 629 629 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P04632	CPNS1_HUMAN	reviewed	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)	Homo sapiens (Human)	268	CAPNS1	
P04792	HSPB1_HUMAN	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	Homo sapiens (Human)	205	HSPB1	
P04818	TYSY_HUMAN	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Homo sapiens (Human)	313	TYMS	
P04843	RPN1_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)	Homo sapiens (Human)	607	RPN1	CARBOHYD 299 299 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
P04844	RPN2_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (RIBIIR) (Ribophorin II) (RPN-II) (Ribophorin-2)	Homo sapiens (Human)	631	RPN2	CARBOHYD 106 106 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
P04899	GNAI2_HUMAN	reviewed	Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)	Homo sapiens (Human)	355	GNAI2	
P05023	AT1A1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	Homo sapiens (Human)	1023	ATP1A1	
P05026	AT1B1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Homo sapiens (Human)	303	ATP1B1	CARBOHYD 158 158 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218}.; CARBOHYD 193 193 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218}.; CARBOHYD 265 265 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.
P05091	ALDH2_HUMAN	reviewed	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	Homo sapiens (Human)	517	ALDH2	
P05106	ITB3_HUMAN	reviewed	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	Homo sapiens (Human)	788	ITGB3	CARBOHYD 125 125 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16263699, ECO:0000269|PubMed:16335952}.; CARBOHYD 346 346 N-linked (GlcNAc...) asparagine. {ECO:0000255, ECO:0000269|PubMed:11546839}.; CARBOHYD 397 397 N-linked (GlcNAc...) asparagine. {ECO:0000255, ECO:0000269|PubMed:11546839}.; CARBOHYD 478 478 N-linked (GlcNAc...) asparagine.; CARBOHYD 585 585 N-linked (GlcNAc...) asparagine. {ECO:0000255, ECO:0000269|PubMed:11546839}.; CARBOHYD 680 680 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:11546839, ECO:0000269|PubMed:19159218}.
P05198	IF2A_HUMAN	reviewed	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)	Homo sapiens (Human)	315	EIF2S1	
P05204	HMGN2_HUMAN	reviewed	Non-histone chromosomal protein HMG-17 (High mobility group nucleosome-binding domain-containing protein 2)	Homo sapiens (Human)	90	HMGN2	
P05386	RLA1_HUMAN	reviewed	60S acidic ribosomal protein P1 (Large ribosomal subunit protein P1)	Homo sapiens (Human)	114	RPLP1	
P05387	RLA2_HUMAN	reviewed	60S acidic ribosomal protein P2 (Large ribosomal subunit protein P2) (Renal carcinoma antigen NY-REN-44)	Homo sapiens (Human)	115	RPLP2	
P05388	RLA0_HUMAN	reviewed	60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10)	Homo sapiens (Human)	317	RPLP0	
P05455	LA_HUMAN	reviewed	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B)	Homo sapiens (Human)	408	SSB	
P05556	ITB1_HUMAN	reviewed	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	Homo sapiens (Human)	798	ITGB1	CARBOHYD 50 50 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 94 94 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 97 97 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 212 212 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 269 269 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:22451694}.; CARBOHYD 363 363 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 406 406 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19349973, ECO:0000269|PubMed:22451694}.; CARBOHYD 417 417 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 481 481 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 520 520 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 584 584 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 669 669 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
P05783	K1C18_HUMAN	reviewed	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	Homo sapiens (Human)	430	KRT18	CARBOHYD 30 30 O-linked (GlcNAc) serine; alternate. {ECO:0000269|PubMed:20729549, ECO:0000269|PubMed:7538124}. /FTId=CAR_000175.; CARBOHYD 31 31 O-linked (GlcNAc) serine; alternate. {ECO:0000269|PubMed:20729549, ECO:0000269|PubMed:7538124}. /FTId=CAR_000193.; CARBOHYD 49 49 O-linked (GlcNAc) serine; alternate. {ECO:0000269|PubMed:20729549, ECO:0000269|PubMed:7538124}. /FTId=CAR_000194.
P05787	K2C8_HUMAN	reviewed	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	Homo sapiens (Human)	483	KRT8	
P06396	GELS_HUMAN	reviewed	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	Homo sapiens (Human)	782	GSN	
P06493	CDK1_HUMAN	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	Homo sapiens (Human)	297	CDK1	
P06576	ATPB_HUMAN	reviewed	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	Homo sapiens (Human)	529	ATP5F1B	CARBOHYD 106 106 O-linked (GlcNAc) serine. {ECO:0000250}.
P06702	S10A9_HUMAN	reviewed	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	Homo sapiens (Human)	114	S100A9	
P06733	ENOA_HUMAN	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	Homo sapiens (Human)	434	ENO1	
P06737	PYGL_HUMAN	reviewed	Glycogen phosphorylase, liver form (EC 2.4.1.1)	Homo sapiens (Human)	847	PYGL	
P06744	G6PI_HUMAN	reviewed	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)	Homo sapiens (Human)	558	GPI	
P06748	NPM_HUMAN	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	Homo sapiens (Human)	294	NPM1	
P06753	TPM3_HUMAN	reviewed	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5)	Homo sapiens (Human)	285	TPM3	
P06756	ITAV_HUMAN	reviewed	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	Homo sapiens (Human)	1048	ITGAV	CARBOHYD 74 74 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973, ECO:0000269|PubMed:28117447}.; CARBOHYD 290 290 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:28117447}.; CARBOHYD 296 296 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:28117447}.; CARBOHYD 488 488 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:28117447}.; CARBOHYD 554 554 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:28117447}.; CARBOHYD 615 615 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:28117447}.; CARBOHYD 704 704 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 835 835 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 851 851 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 874 874 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 945 945 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 973 973 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 980 980 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P07195	LDHB_HUMAN	reviewed	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	Homo sapiens (Human)	334	LDHB	
P07199	CENPB_HUMAN	reviewed	Major centromere autoantigen B (Centromere protein B) (CENP-B)	Homo sapiens (Human)	599	CENPB	
P07203	GPX1_HUMAN	reviewed	Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase)	Homo sapiens (Human)	203	GPX1	
P07237	PDIA1_HUMAN	reviewed	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	Homo sapiens (Human)	508	P4HB	
P07305	H10_HUMAN	reviewed	Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]	Homo sapiens (Human)	194	H1F0	
P07355	ANXA2_HUMAN	reviewed	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	Homo sapiens (Human)	339	ANXA2	
P07384	CAN1_HUMAN	reviewed	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP)	Homo sapiens (Human)	714	CAPN1	
P07437	TBB5_HUMAN	reviewed	Tubulin beta chain (Tubulin beta-5 chain)	Homo sapiens (Human)	444	TUBB	
P07476	INVO_HUMAN	reviewed	Involucrin	Homo sapiens (Human)	585	IVL	
P07477	TRY1_HUMAN	reviewed	Trypsin-1 (EC 3.4.21.4) (Beta-trypsin) (Cationic trypsinogen) (Serine protease 1) (Trypsin I) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]	Homo sapiens (Human)	247	PRSS1	
P07602	SAP_HUMAN	reviewed	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]	Homo sapiens (Human)	524	PSAP	CARBOHYD 80 80 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00415, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19167329, ECO:0000269|PubMed:2842863}.; CARBOHYD 101 101 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00415, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19167329, ECO:0000269|PubMed:2842863}.; CARBOHYD 215 215 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00415, ECO:0000269|PubMed:11180632, ECO:0000269|PubMed:19167329}. /FTId=CAR_000176.; CARBOHYD 332 332 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00415, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19167329}.; CARBOHYD 426 426 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00415, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19167329}.
P07737	PROF1_HUMAN	reviewed	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	Homo sapiens (Human)	140	PFN1	
P07814	SYEP_HUMAN	reviewed	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]	Homo sapiens (Human)	1512	EPRS	
P07858	CATB_HUMAN	reviewed	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	Homo sapiens (Human)	339	CTSB	CARBOHYD 192 192 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:3463996}.
P07910	HNRPC_HUMAN	reviewed	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	Homo sapiens (Human)	306	HNRNPC	
P07942	LAMB1_HUMAN	reviewed	Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta)	Homo sapiens (Human)	1786	LAMB1	CARBOHYD 120 120 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 356 356 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 519 519 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 677 677 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1041 1041 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1195 1195 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1279 1279 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218}.; CARBOHYD 1336 1336 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1343 1343 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1487 1487 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1542 1542 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P07947	YES_HUMAN	reviewed	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	Homo sapiens (Human)	543	YES1	
P07951	TPM2_HUMAN	reviewed	Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)	Homo sapiens (Human)	284	TPM2	
P07954	FUMH_HUMAN	reviewed	Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)	Homo sapiens (Human)	510	FH	
