yourlist:M20181105AAFB7E4D2F1D05654627429E83DA5CCE019D69D	Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name	Glycosylation
O95613	O95613	reviewed	Pericentrin (Kendrin) (Pericentrin-B)	Homo sapiens (Human)	3336	PCNT	PCNT_HUMAN	
O95678	O95678	reviewed	Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (hK6hf) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)	Homo sapiens (Human)	551	KRT75	K2C75_HUMAN	
O95714	O95714	reviewed	E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2)	Homo sapiens (Human)	4834	HERC2	HERC2_HUMAN	
O95758	O95758	reviewed	Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)	Homo sapiens (Human)	552	PTBP3	PTBP3_HUMAN	
O95782	O95782	reviewed	AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)	Homo sapiens (Human)	977	AP2A1	AP2A1_HUMAN	
O95793	O95793	reviewed	Double-stranded RNA-binding protein Staufen homolog 1	Homo sapiens (Human)	577	STAU1	STAU1_HUMAN	
O95816	O95816	reviewed	BAG family molecular chaperone regulator 2 (BAG-2) (Bcl-2-associated athanogene 2)	Homo sapiens (Human)	211	BAG2	BAG2_HUMAN	
O95817	O95817	reviewed	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)	Homo sapiens (Human)	575	BAG3	BAG3_HUMAN	
O95819	O95819	reviewed	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	Homo sapiens (Human)	1239	MAP4K4	M4K4_HUMAN	
O95864	O95864	reviewed	Fatty acid desaturase 2 (EC 1.14.19.3) (Acyl-CoA 6-desaturase) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase)	Homo sapiens (Human)	444	FADS2	FADS2_HUMAN	
O95865	O95865	reviewed	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 (DDAH-2) (Dimethylarginine dimethylaminohydrolase 2) (EC 3.5.3.18) (DDAHII) (Dimethylargininase-2) (Protein G6a) (S-phase protein)	Homo sapiens (Human)	285	DDAH2	DDAH2_HUMAN	
O95881	O95881	reviewed	Thioredoxin domain-containing protein 12 (EC 1.8.4.2) (Endoplasmic reticulum resident protein 18) (ER protein 18) (ERp18) (Endoplasmic reticulum resident protein 19) (ER protein 19) (ERp19) (Thioredoxin-like protein p19) (hTLP19)	Homo sapiens (Human)	172	TXNDC12	TXD12_HUMAN	
O95985	O95985	reviewed	DNA topoisomerase 3-beta-1 (EC 5.99.1.2) (DNA topoisomerase III beta-1)	Homo sapiens (Human)	862	TOP3B	TOP3B_HUMAN	
O96005	O96005	reviewed	Cleft lip and palate transmembrane protein 1	Homo sapiens (Human)	669	CLPTM1	CLPT1_HUMAN	CARBOHYD 28 28 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 119 119 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 161 161 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 241 241 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 295 295 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16263699, ECO:0000269|PubMed:19159218}.; CARBOHYD 413 413 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
O96008	O96008	reviewed	Mitochondrial import receptor subunit TOM40 homolog (Protein Haymaker) (Translocase of outer membrane 40 kDa subunit homolog) (p38.5)	Homo sapiens (Human)	361	TOMM40	TOM40_HUMAN	
O96013	O96013	reviewed	Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4)	Homo sapiens (Human)	591	PAK4	PAK4_HUMAN	
O96028	O96028	reviewed	Histone-lysine N-methyltransferase NSD2 (EC 2.1.1.43) (Multiple myeloma SET domain-containing protein) (MMSET) (Nuclear SET domain-containing protein 2) (Protein trithorax-5) (Wolf-Hirschhorn syndrome candidate 1 protein)	Homo sapiens (Human)	1365	NSD2	NSD2_HUMAN	
P00338	P00338	reviewed	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	Homo sapiens (Human)	332	LDHA	LDHA_HUMAN	
P00367	P00367	reviewed	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	Homo sapiens (Human)	558	GLUD1	DHE3_HUMAN	
P00374	P00374	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	Homo sapiens (Human)	187	DHFR	DYR_HUMAN	
P00387	P00387	reviewed	NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1) [Cleaved into: NADH-cytochrome b5 reductase 3 membrane-bound form; NADH-cytochrome b5 reductase 3 soluble form]	Homo sapiens (Human)	301	CYB5R3	NB5R3_HUMAN	
P00390	P00390	reviewed	Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)	Homo sapiens (Human)	522	GSR	GSHR_HUMAN	
P00403	P00403	reviewed	Cytochrome c oxidase subunit 2 (Cytochrome c oxidase polypeptide II)	Homo sapiens (Human)	227	MT-CO2	COX2_HUMAN	
P00441	P00441	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1)	Homo sapiens (Human)	154	SOD1	SODC_HUMAN	
P00505	P00505	reviewed	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	Homo sapiens (Human)	430	GOT2	AATM_HUMAN	
P00533	P00533	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	Homo sapiens (Human)	1210	EGFR	EGFR_HUMAN	CARBOHYD 56 56 N-linked (GlcNAc...) (complex) asparagine; atypical; partial. {ECO:0000244|PDB:1IVO, ECO:0000244|PDB:1MOX, ECO:0000244|PDB:3NJP, ECO:0000244|PDB:3QWQ, ECO:0000269|PubMed:10731668, ECO:0000269|PubMed:12297049, ECO:0000269|PubMed:12297050, ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266, ECO:0000269|PubMed:20837704}. /FTId=CAR_000227.; CARBOHYD 73 73 N-linked (GlcNAc...) asparagine; atypical. {ECO:0000244|PDB:3NJP, ECO:0000269|PubMed:20837704}.; CARBOHYD 128 128 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266, ECO:0000269|PubMed:8962717}.; CARBOHYD 175 175 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1IVO, ECO:0000244|PDB:3NJP, ECO:0000269|PubMed:12297050, ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266, ECO:0000269|PubMed:20837704, ECO:0000269|PubMed:8962717}.; CARBOHYD 196 196 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1IVO, ECO:0000244|PDB:1MOX, ECO:0000244|PDB:3NJP, ECO:0000269|PubMed:12297049, ECO:0000269|PubMed:12297050, ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266, ECO:0000269|PubMed:20837704}.; CARBOHYD 352 352 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1IVO, ECO:0000244|PDB:1MOX, ECO:0000244|PDB:1NQL, ECO:0000244|PDB:1YY9, ECO:0000244|PDB:3B2U, ECO:0000244|PDB:3B2V, ECO:0000244|PDB:3NJP, ECO:0000244|PDB:3P0Y, ECO:0000244|PDB:3QWQ, ECO:0000244|PDB:4KRL, ECO:0000244|PDB:4KRM, ECO:0000244|PDB:4KRO, ECO:0000244|PDB:4KRP, ECO:0000244|PDB:4UIP, ECO:0000244|PDB:4UV7, ECO:0000269|PubMed:10731668, ECO:0000269|PubMed:12297049, ECO:0000269|PubMed:12297050, ECO:0000269|PubMed:12620237, ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:20837704}.; CARBOHYD 361 361 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1IVO, ECO:0000244|PDB:1NQL, ECO:0000244|PDB:1YY9, ECO:0000244|PDB:3B2U, ECO:0000244|PDB:3NJP, ECO:0000244|PDB:3QWQ, ECO:0000244|PDB:4KRL, ECO:0000244|PDB:4KRM, ECO:0000244|PDB:4KRO, ECO:0000244|PDB:4KRP, ECO:0000244|PDB:4UV7, ECO:0000269|PubMed:10731668, ECO:0000269|PubMed:12297050, ECO:0000269|PubMed:12620237, ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266, ECO:0000269|PubMed:20837704}.; CARBOHYD 413 413 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1YY9, ECO:0000244|PDB:3B2U, ECO:0000244|PDB:3B2V, ECO:0000244|PDB:3P0Y, ECO:0000244|PDB:3QWQ, ECO:0000244|PDB:4KRO, ECO:0000244|PDB:4KRP, ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:8962717}.; CARBOHYD 444 444 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1IVO, ECO:0000244|PDB:1NQL, ECO:0000244|PDB:1YY9, ECO:0000244|PDB:3B2U, ECO:0000244|PDB:3B2V, ECO:0000244|PDB:3NJP, ECO:0000244|PDB:3P0Y, ECO:0000244|PDB:3QWQ, ECO:0000244|PDB:4KRL, ECO:0000244|PDB:4KRM, ECO:0000244|PDB:4KRO, ECO:0000244|PDB:4KRP, ECO:0000244|PDB:4UIP, ECO:0000244|PDB:4UV7, ECO:0000269|PubMed:12297050, ECO:0000269|PubMed:12620237, ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266, ECO:0000269|PubMed:20837704, ECO:0000269|PubMed:8962717}.; CARBOHYD 528 528 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1NQL, ECO:0000244|PDB:1YY9, ECO:0000244|PDB:3B2V, ECO:0000244|PDB:3NJP, ECO:0000244|PDB:3QWQ, ECO:0000244|PDB:4KRP, ECO:0000244|PDB:4UIP, ECO:0000244|PDB:4UV7, ECO:0000269|PubMed:12620237, ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266, ECO:0000269|PubMed:20837704, ECO:0000269|PubMed:8962717}.; CARBOHYD 568 568 N-linked (GlcNAc...) asparagine; partial. {ECO:0000244|PDB:1NQL, ECO:0000244|PDB:1YY9, ECO:0000269|PubMed:10731668, ECO:0000269|PubMed:12620237, ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266, ECO:0000269|PubMed:19159218}.; CARBOHYD 603 603 N-linked (GlcNAc...) asparagine; partial. {ECO:0000244|PDB:1NQL, ECO:0000244|PDB:1YY9, ECO:0000269|PubMed:10731668, ECO:0000269|PubMed:12620237, ECO:0000269|PubMed:12731890, ECO:0000269|PubMed:16083266}.; CARBOHYD 623 623 N-linked (GlcNAc...) (high mannose) asparagine. {ECO:0000305|PubMed:12731890}.
P00750	P00750	reviewed	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	Homo sapiens (Human)	562	PLAT	TPA_HUMAN	CARBOHYD 96 96 O-linked (Fuc) threonine. {ECO:0000269|PubMed:1900431}. /FTId=CAR_000029.; CARBOHYD 152 152 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:2513186}.; CARBOHYD 219 219 N-linked (GlcNAc...) asparagine; partial. {ECO:0000269|PubMed:2513186}. /FTId=CAR_000030.; CARBOHYD 483 483 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:2513186}. /FTId=CAR_000031.
P01033	P01033	reviewed	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)	Homo sapiens (Human)	207	TIMP1	TIMP1_HUMAN	CARBOHYD 53 53 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:16263699, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:16740002, ECO:0000269|PubMed:19139490}. /FTId=CAR_000002.; CARBOHYD 101 101 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16740002}. /FTId=CAR_000003.
P01130	P01130	reviewed	Low-density lipoprotein receptor (LDL receptor)	Homo sapiens (Human)	860	LDLR	LDLR_HUMAN	CARBOHYD 97 97 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 156 156 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19520913}.; CARBOHYD 272 272 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19520913}.; CARBOHYD 515 515 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 657 657 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218}.
P02452	P02452	reviewed	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	Homo sapiens (Human)	1464	COL1A1	CO1A1_HUMAN	CARBOHYD 265 265 O-linked (Gal...) hydroxylysine; alternate. {ECO:0000269|PubMed:4319110}.; CARBOHYD 1108 1108 O-linked (Gal...) hydroxylysine; alternate. {ECO:0000250|UniProtKB:P02457}.; CARBOHYD 1365 1365 N-linked (GlcNAc...) asparagine.
P02453	P02453	reviewed	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	Bos taurus (Bovine)	1463	COL1A1	CO1A1_BOVIN	CARBOHYD 264 264 O-linked (Gal...) hydroxylysine; alternate. {ECO:0000250|UniProtKB:P02457}.; CARBOHYD 1107 1107 O-linked (Gal...) hydroxylysine; alternate. {ECO:0000250|UniProtKB:P02457}.
P02462	P02462	reviewed	Collagen alpha-1(IV) chain [Cleaved into: Arresten]	Homo sapiens (Human)	1669	COL4A1	CO4A1_HUMAN	CARBOHYD 126 126 N-linked (GlcNAc...) asparagine.
P02511	P02511	reviewed	Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)	Homo sapiens (Human)	175	CRYAB	CRYAB_HUMAN	CARBOHYD 170 170 O-linked (GlcNAc) threonine. {ECO:0000250}.
P02533	P02533	reviewed	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	Homo sapiens (Human)	472	KRT14	K1C14_HUMAN	
P02538	P02538	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	Homo sapiens (Human)	564	KRT6A	K2C6A_HUMAN	
P02545	P02545	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	Homo sapiens (Human)	664	LMNA	LMNA_HUMAN	
P02751	P02751	reviewed	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	Homo sapiens (Human)	2386	FN1	FINC_HUMAN	CARBOHYD 279 279 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:16037490}.; CARBOHYD 430 430 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:11285216, ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:16335952}.; CARBOHYD 528 528 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:14760718, ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19139490, ECO:0000269|PubMed:19159218}.; CARBOHYD 542 542 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19139490}.; CARBOHYD 877 877 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:17614963}.; CARBOHYD 1007 1007 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19139490, ECO:0000269|PubMed:19159218}.; CARBOHYD 1244 1244 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16037490, ECO:0000269|PubMed:16335952}.; CARBOHYD 2064 2064 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:2012601}.; CARBOHYD 2065 2065 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:2012601}.; CARBOHYD 2108 2108 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16037490}.
P02769	P02769	reviewed	Serum albumin (BSA) (allergen Bos d 6)	Bos taurus (Bovine)	607	ALB	ALBU_BOVIN	
P02786	P02786	reviewed	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]	Homo sapiens (Human)	760	TFRC	TFR1_HUMAN	CARBOHYD 104 104 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:1421756, ECO:0000269|PubMed:1421757}. /FTId=CAR_000072.; CARBOHYD 251 251 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1CX8, ECO:0000269|PubMed:10531064, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 317 317 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1CX8, ECO:0000269|PubMed:10531064}.; CARBOHYD 727 727 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1CX8, ECO:0000269|PubMed:10531064, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:7780197}. /FTId=CAR_000173.
P02794	P02794	reviewed	Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) (Cell proliferation-inducing gene 15 protein) [Cleaved into: Ferritin heavy chain, N-terminally processed]	Homo sapiens (Human)	183	FTH1	FRIH_HUMAN	
P02994	P02994	reviewed	Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458	TEF1; TEF2	EF1A_YEAST	
P04104	P04104	reviewed	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (Type-II keratin Kb1)	Mus musculus (Mouse)	637	Krt1	K2C1_MOUSE	
P04181	P04181	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]	Homo sapiens (Human)	439	OAT	OAT_HUMAN	
P04183	P04183	reviewed	Thymidine kinase, cytosolic (EC 2.7.1.21)	Homo sapiens (Human)	234	TK1	KITH_HUMAN	
P04216	P04216	reviewed	Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90)	Homo sapiens (Human)	161	THY1	THY1_HUMAN	CARBOHYD 42 42 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 79 79 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 119 119 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 139 139 N-linked (GlcNAc...) asparagine.
P04259	P04259	reviewed	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)	Homo sapiens (Human)	564	KRT6B	K2C6B_HUMAN	
P04350	P04350	reviewed	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	Homo sapiens (Human)	444	TUBB4A	TBB4A_HUMAN	
P04406	P04406	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	Homo sapiens (Human)	335	GAPDH	G3P_HUMAN	
P04626	P04626	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	Homo sapiens (Human)	1255	ERBB2	ERBB2_HUMAN	CARBOHYD 68 68 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:2A91, ECO:0000244|PDB:3MZW, ECO:0000269|PubMed:20696930}.; CARBOHYD 124 124 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 187 187 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1N8Z, ECO:0000244|PDB:1S78, ECO:0000244|PDB:2A91, ECO:0000244|PDB:3N85, ECO:0000255}.; CARBOHYD 259 259 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1N8Z, ECO:0000244|PDB:1S78, ECO:0000244|PDB:2A91, ECO:0000244|PDB:3MZW, ECO:0000244|PDB:3N85, ECO:0000269|PubMed:15093539, ECO:0000269|PubMed:19299620, ECO:0000269|PubMed:20696930}.; CARBOHYD 530 530 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:1S78, ECO:0000269|PubMed:15093539, ECO:0000269|PubMed:19299620}.; CARBOHYD 571 571 N-linked (GlcNAc...) asparagine. {ECO:0000244|PDB:3MZW, ECO:0000269|PubMed:20696930}.; CARBOHYD 629 629 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P04632	P04632	reviewed	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)	Homo sapiens (Human)	268	CAPNS1	CPNS1_HUMAN	
P04792	P04792	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	Homo sapiens (Human)	205	HSPB1	HSPB1_HUMAN	
P04818	P04818	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Homo sapiens (Human)	313	TYMS	TYSY_HUMAN	
P04843	P04843	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)	Homo sapiens (Human)	607	RPN1	RPN1_HUMAN	CARBOHYD 299 299 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
P04844	P04844	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (RIBIIR) (Ribophorin II) (RPN-II) (Ribophorin-2)	Homo sapiens (Human)	631	RPN2	RPN2_HUMAN	CARBOHYD 106 106 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
P04899	P04899	reviewed	Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)	Homo sapiens (Human)	355	GNAI2	GNAI2_HUMAN	
P05023	P05023	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)	Homo sapiens (Human)	1023	ATP1A1	AT1A1_HUMAN	
P05026	P05026	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Homo sapiens (Human)	303	ATP1B1	AT1B1_HUMAN	CARBOHYD 158 158 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218}.; CARBOHYD 193 193 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218}.; CARBOHYD 265 265 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.
P05091	P05091	reviewed	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	Homo sapiens (Human)	517	ALDH2	ALDH2_HUMAN	
P05106	P05106	reviewed	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	Homo sapiens (Human)	788	ITGB3	ITB3_HUMAN	CARBOHYD 125 125 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16263699, ECO:0000269|PubMed:16335952}.; CARBOHYD 346 346 N-linked (GlcNAc...) asparagine. {ECO:0000255, ECO:0000269|PubMed:11546839}.; CARBOHYD 397 397 N-linked (GlcNAc...) asparagine. {ECO:0000255, ECO:0000269|PubMed:11546839}.; CARBOHYD 478 478 N-linked (GlcNAc...) asparagine.; CARBOHYD 585 585 N-linked (GlcNAc...) asparagine. {ECO:0000255, ECO:0000269|PubMed:11546839}.; CARBOHYD 680 680 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:11546839, ECO:0000269|PubMed:19159218}.
P05198	P05198	reviewed	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)	Homo sapiens (Human)	315	EIF2S1	IF2A_HUMAN	
P05204	P05204	reviewed	Non-histone chromosomal protein HMG-17 (High mobility group nucleosome-binding domain-containing protein 2)	Homo sapiens (Human)	90	HMGN2	HMGN2_HUMAN	
P05386	P05386	reviewed	60S acidic ribosomal protein P1 (Large ribosomal subunit protein P1)	Homo sapiens (Human)	114	RPLP1	RLA1_HUMAN	
P05387	P05387	reviewed	60S acidic ribosomal protein P2 (Large ribosomal subunit protein P2) (Renal carcinoma antigen NY-REN-44)	Homo sapiens (Human)	115	RPLP2	RLA2_HUMAN	
P05388	P05388	reviewed	60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10)	Homo sapiens (Human)	317	RPLP0	RLA0_HUMAN	
P05455	P05455	reviewed	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B)	Homo sapiens (Human)	408	SSB	LA_HUMAN	
